code,parent_code,name
01.25.9,01.25,"Плоды деревьев и кустарников прочие, не включенные в другие группировки"
01.25.90,01.25.9,"Плоды деревьев и кустарников прочие, не включенные в другие группировки"
01.25.90.110,01.25.90,Хурма
01.25.90.120,01.25.90,Гранат
01.25.90.130,01.25.90,Фейхоа
01.25.90.140,01.25.90,Мушмула
01.26,01.2,Плоды масличных культур
01.26.1,01.26,Оливки (маслины)
01.26.11,01.26.1,Оливки столовые
01.26.11.000,01.26.11,Оливки столовые
01.26.12,01.26.1,Оливки для производства оливкового масла
01.26.12.000,01.26.12,Оливки для производства оливкового масла
01.26.2,01.26,Орехи кокосовые
01.26.20,01.26.2,Орехи кокосовые
01.26.20.000,01.26.20,Орехи кокосовые
01.26.9,01.26,Плоды масличных культур прочие
01.26.90,01.26.9,Плоды масличных культур прочие
01.26.90.000,01.26.90,Плоды масличных культур прочие
01.27,01.2,Культуры для производства напитков
01.27.1,01.27,Культуры для производства напитков
01.27.11,01.27.1,Зерна кофейные необжаренные
01.27.11.000,01.27.11,Зерна кофейные необжаренные
01.27.12.110,01.27.11,Лист зеленого чая сортовой
01.27.12.120,01.27.11,Лист зеленого чая грубый
01.27.12.130,01.27.11,Лист черного чая сортовой
01.27.12.140,01.27.11,Лист черного чая грубый
01.27.13,01.27.1,Листья мате
01.27.13.000,01.27.13,Листья мате
01.27.14,01.27.1,Какао-бобы
01.27.14.000,01.27.14,Какао-бобы
01.27.19,01.27.1,Культуры для производства напитков прочие
01.27.19.110,01.27.19,Цикорий
01.27.19.190,01.27.19,"Культуры для производства напитков прочие, не включенные в другие группировки"
01.28,01.2,"Пряности и растения, используемые в парфюмерии и фармации"
01.28.1,01.28,Пряности необработанные
01.28.11,01.28.1,Перец необработанный
01.28.11.000,01.28.11,Перец необработанный
01.28.12,01.28.1,"Перец красный и стручковый, сухой, необработанный"
01.28.12.000,01.28.12,"Перец красный и стручковый, сухой, необработанный"
01.28.13,01.28.1,"Орех мускатный, мацис и кардамон необработанные"
01.28.13.110,01.28.13,Орех мускатный необработанный
01.28.13.120,01.28.13,Мацис необработанный
01.28.13.130,01.28.13,Кардамон необработанный
01.28.14,01.28.1,"Анис, бадьян, кориандр, тмин душистый и обыкновенный, фенхель и можжевеловые ягоды, необработанные"
01.28.14.110,01.28.14,Анис необработанный
01.28.14.120,01.28.14,Бадьян необработанный
01.28.14.130,01.28.14,Кориандр необработанный
01.28.14.140,01.28.14,Тмин необработанный
01.28.14.150,01.28.14,Фенхель необработанный
01.28.14.160,01.28.14,Ягоды можжевеловые необработанные
01.28.15,01.28.1,Корица необработанная
01.28.15.000,01.28.15,Корица необработанная
01.28.16,01.28.1,Гвоздика (стебли) необработанная
01.28.16.000,01.28.16,Гвоздика (стебли) необработанная
01.28.17,01.28.1,Имбирь сухой необработанный
01.28.17.000,01.28.17,Имбирь сухой необработанный
01.28.18,01.28.1,Ваниль необработанная
