ОКВЭД2001;ОКВЭД2
51.11.25;46.11.35
51.11.26;46.11.39
51.12.1;46.12.1
51.12.2;46.12.2
51.12.21;46.12.21
51.12.22;46.12.22
51.12.23;46.12.22
51.12.24;46.12.22
51.12.3;46.12.3
51.12.31;46.12.31
51.12.32;46.12.32
51.12.33;46.12.31
51.12.34;46.12.31
51.12.35;46.12.31
51.12.36;46.12.31
51.12.37;46.12.31
51.13.1;46.13.1
51.13.2;46.13.2
51.14.1;46.14.1
51.14.2;46.14.9
51.14.3;46.14.2
51.15.1;46.15.1
51.15.2;46.15.2
51.15.3;46.15.3
51.15.4;46.15.4
51.15.41;46.15.4
51.15.42;46.15.4
51.15.5;46.15.9
51.16.1;46.16.1
51.16.2;46.16.2
51.16.3;46.16.3
51.17.1;46.17.1
51.17.2;46.17.2
51.17.21;46.17.21
51.17.22;46.17.22
51.17.23;46.17.23
51.17.3;46.17.3
51.18.1;46.18.1
51.18.2;46.18.9
51.18.21;46.18.91
51.18.22;46.18.2
51.18.23;46.18.2
51.18.24;46.18.2
51.18.25;46.18.2
51.18.26;35.14
51.18.27;46.18.99
51.21.1;46.21.11
51.21.2;46.21.12
51.21.3;46.21.13
51.21.4;46.21.14
51.21.5;46.21.19
51.31.1;46.31.11
51.31.2;46.31.13
51.32.1;46.32.1
51.32.11;46.32.1
51.32.12;46.32.1
51.32.2;46.32.2
51.32.3;46.32.3
51.33.1;46.33.1
51.33.2;46.33.2
51.33.3;46.33.3
51.34.1;46.34.1
51.34.2;46.34.2
51.34.21;46.34.21
51.34.22;46.34.23
51.36.1;46.36.1
51.36.2;46.36.2
51.36.21;46.36.2
51.36.22;46.38.26
51.38.1;46.38.1
51.38.2;46.38.2
51.38.21;46.31.2
51.38.22;46.38.21
51.38.23;46.38.22
51.38.24;46.36.4
51.38.25;46.36.3
51.38.26;46.38.23
51.38.27;46.38.24
51.38.28;46.38.25
51.38.29;46.38.29
51.39.1;46.39.1
51.39.2;46.39.2
51.41.1;46.41.1
51.41.2;46.41.2
51.42.1;46.42.11
51.42.2;46.42.12
51.42.3;46.42.13
51.42.4;46.42.2
51.42.5;46.42.14
51.43.1;46.43.1
51.43.2;46.43.2
51.43.21;46.43.2
51.43.22;46.43.3
51.44.1;46.49.1
51.44.2;46.44.1
51.44.3;46.73.7
51.44.4;46.44.2
51.45.1;46.45.1
51.45.2;46.45.2
51.46.1;46.46.1
51.46.2;46.46.2
51.47.1;46.47
51.47.11;46.47.1
51.47.12;46.49.5
51.47.13;46.49.2
51.47.14;46.47.3
51.47.15;46.49.49
51.47.2;46.49.3
51.47.21;46.49.31
51.47.22;46.49.32
51.47.23;46.49.33
51.47.3;46.49.4
51.47.31;46.49.41
51.47.32;46.43.4
51.47.33;46.49.42
51.47.34;46.48.2
51.47.35;46.49.43
51.47.36;46.49.44
51.47.37;46.49.49
51.51.1;46.71.1
51.51.2;46.71.2
51.51.3;46.71
51.52.1;46.72.1
51.52.11;46.72.11
51.52.12;46.72.12
51.52.2;46.72.2
51.52.21;46.72.21
51.52.22;46.72.22
51.52.23;46.72.23
51.53.1;46.73.1
51.53.2;46.73.4
51.53.21;46.73.3
51.53.22;46.73.4
51.53.23;46.73.5
51.53.24;46.73.6
51.54.1;46.74.1
51.54.2;46.74.2
51.54.3;46.74.3
51.55.1;46.75.1
51.55.11;46.75.1
51.55.12;46.75.1
51.55.2;46.76.3
51.55.3;46.75.2
51.55.31;46.75.2
51.55.32;46.75.2
51.55.33;46.75.2
51.55.34;46.75.2
