Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"ООО ""Промэнергомонтаж""";"ООО ""Промэнергомонтаж""";ООО;3663071516;366301001;;;ЮЛ;394028, г. Воронеж, ул. Димитрова, д. 124, помещение 1;Да;Нет;;;;;;;
"ООО ""КранСтройСервис""";"ООО ""КранСтройСервис""";ООО;7116145625;711601001;;;ЮЛ;301 657, Тульская обл., г. Новомосковск, ул. Техническая, д. 8.;Да;Нет;;;;;;;
"ООО ""Центрэнергосервис""";"ООО ""Центрэнергосервис""";ООО;7107091839;710701001;;;ЮЛ;300971, г. Тула, ул. Менделеевская, д.1, оф. 509;Да;Нет;;;;;;;
"АО ""Воронежсинтезкаучук""";"АО ""Воронежсинтезкаучук""";АО;3663002167;366750001;;;ЮЛ;394656 г.Воронеж,Ленинский пр-т,д.2;Да;Нет;;;;;;;
"ОАО ""Щекиноазот""";"ОАО ""Щекиноазот""";ООО;7118004789;710150001;;;ЮЛ;Тульская область, Щекинский район, п.Первомайский, ул. Симферопольская, д.19;Да;Нет;;;;;;;
"ООО ИТЦ ""Кран - Сервис""";"ООО ИТЦ ""Кран - Сервис""";ООО;7104005990;710401001;;;ЮЛ;300600, г.Тула,ул. 9 Мая, 1;Да;Нет;;;;;;;
"ОАО ""Воронежторгтехника""";"ОАО ""Воронежторгтехника""";ООО;3650003942;366201001;;;ЮЛ;394026, г. Воронеж, ул. Электросигнальная, д. 15;Да;Нет;;;;;;;
"ООО ""РемтеплоСервис""";"ООО ""РемтеплоСервис""";ООО;4632043976;463201001;;;ЮЛ;305040, г. Курск, ул. Косухина, 9, офис 97;Да;Нет;;;;;;;
"ЗАО ИТЦ ""Крос""";"ЗАО ИТЦ ""Крос""";ЗАО;5038036809;501601001;;;ЮЛ;141281, Московская обл., г.Ивантеевка, Санаторный проезд, д. 1;Да;Нет;;;;;;;
"ГОУ ""Учебно-методический центр ГОЧС Тульской области""";"ГОУ ""Учебно-методический центр ГОЧС Тульской области""";;7107066543;710701001;;;ЮЛ;300012, г.Тула, пр.Ленина, д.53;Да;Нет;;;;;;;
"ООО ""ЕвроСтрой""";"ООО ""ЕвроСтрой""";ООО;5703010700;570301001;;;ЮЛ;303030, Орловская область, г.Мценск, ул. Болоховская, д.45;Да;Нет;;;;;;;
"ООО ""ЭНТЭКС+""";"ООО ""ЭНТЭКС+""";ООО;6215019764;621501001;;;ЮЛ;390525, Рязанская обл., Рязанский район, с. Поляны, ул. Новая, д.1;Да;Нет;;;;;;;
"Нововоронежское управление-филиал ОАО ""Электроцентромонтаж""";"Нововоронежское управление-филиал ОАО ""Электроцентрмонтаж""";ООО;7730014175;773001001;;;ЮЛ;396072 г.Нововоронеж,Воронежской обл.,Промзона;Да;Нет;;;;;;;
"ООО ""Техноклимат""";"ООО ""Техноклимат""";ООО;7106036112;710401001;;;ЮЛ;300026, г. Тула, пр. Ленина д.102, корп. 4;Да;Нет;;;;;;;
"ОАО ""Домостроительный комбинат""";"Открытое акционерное общество ""Домостроительный комбинат""";ООО;3665005205;366750001;;;ЮЛ;г.Воронеж ул.Пешестрелецкая,95;Да;Нет;;;;;;;
"ООО ""Термосплав-проект""";"ООО ""Термосплав-проект""";ООО;3120012356;312301001;;;ЮЛ;г.Белгород, ул. Щорса,51;Да;Нет;;;;;;;
"ПАО""Ростелеком""";"ПАО ""Ростелеком""";ПАО;7707049388;312343001;;;ЮЛ;191002, г. Санкт-Петербург, ул. Достоевского, 15.;Да;Нет;;;;;;;
"ООО ""Арабелла""";"ООО ""Арабелла""";ООО;6230036813;623001001;;;ЮЛ;390005, г.Рязань, ул.Ленинского комсомола, д.20,НЗ;Да;Нет;;;;;;;
"ООО Фирма ""Митрополь""";"ООО ФИРМА ""Митрополь""";ООО;3123034887;312301001;;;ЮЛ;г.Белгород, ул.Корочанская,132а, оф.205;Да;Нет;;;;;;;
"АО ""ЗКО""";"АО ""ЗКО""";АО;3122503825;312201001;;;ЮЛ;309855 Белгородская область, г. Алексеевка, Южная промзона;Да;Нет;;;;;;;
"ООО ""Автореал моторс""";"ООО ""Автореал моторс""";ООО;5751030907;575101001;;;ЮЛ;302011 г.Орёл Новосильское ш.,д.10;Да;Нет;;;;;;;
