Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
УФК по Тульской области (Администрация муниципального образования город Новомосковск);Администрация муниципального образования город Новомосковск;;7116129736;711601001;;;ЮЛ;301650,г.Новомосковск, ул.,Комсомольская,32/32;Да;Нет;;;;;;;
"ООО ""Энерготехпром""";"ООО ""Энерготехпром""";ООО;7701763388;770101001;;;ЮЛ;105062, Москва, Чаплыгина, дом № 6/5, корпус 1;Да;Нет;;;;;;;
"ЗАО ""Альянс""";"ЗАО ""Альянс""";ЗАО;7817042530;781701001;;;ЮЛ;196651, Санкт-Петербург, Колпино, Ижорский завод, дом № 32;Да;Нет;;;;;;;
"ООО ""Липецкэнергоэксперт""";"ООО ""Липецкэнергоэксперт""";ООО;4825035474;482501001;;;ЮЛ;398001, г.Липецк, пл.Петра Великого,1, оф.31;Да;Нет;;;;;;;
"ОАО ""Новосибирский Инструмент""";"ОАО ""Новосибирский Инструмент""";ООО;5433137621;540601001;;;ЮЛ;630005, Новосибирская обл, Новосибирск г, Фрунзе ул, дом № 57/1;Да;Нет;;;;;;;
"АО ""Белгородская теплосетевая компания""";"Акционерное общество ""Белгородская теплосетевая компания""";АО;3123169468;312301001;;;ЮЛ;308007, Россия, Белгородская обл., г. Белгород, пер. 1-й Мичуринский,  дом № 22;Да;Нет;;;;;;;
"ООО ""Урал-Пресс Черноземье""";"ООО ""Урал-Пресс Черноземье""";ООО;3662123673;366201001;;;ЮЛ;394068, Воронежская обл, Воронеж г, Шишкова ул, дом № 65;Да;Нет;;;;;;;
"ООО ""Альфа""";"ООО ""Альфа""";ООО;3661045373;366101001;;;ЮЛ;394080, Воронежская обл, Воронеж г, Краснолесный пгт, Кольцова ул, дом № 8, кв.4;Да;Нет;;;;;;;
"ООО ""РБ Лизинг""";"ООО ""РБ Лизинг""";ООО;7709202955;770201001;;;ЮЛ;129110 г.Москва ул.Щепкина д.42 стр 2А офис 701;Да;Нет;;;;;;;
"АО ""Центргазсервис""";"АО ""Центргазсервис""";АО;7107018050;673145001;;;ЮЛ;300012, Тульская обл, Тула г, Тимирязева, дом № 70;Да;Нет;;;;;;;
"МУП ""Горводоканал""";"МУП ""Горводоканал""";МУП;4620007613;462001001;;;ЮЛ;307370, Курская обл., г.Рыльск, ул.Володарского, д.77А;Да;Нет;;;;;;;
"ООО ""Торговый Дом ПромЭнеро""";"ООО ""Торговый Дом ПромЭнеро""";ООО;3123188277;312301001;;;ЮЛ;308023, г.Белгород, ул.Студенческая,19 оф.110;Да;Нет;;;;;;;
"ООО ""Спецэнергосервис""";"ООО ""Спецэнергосервис""";ООО;7105506661;710501001;;;ЮЛ;300026, г.Тула, пр.Ленина,д.102,корп.4,оф.409;Да;Нет;;;;;;;
"ООО ""Газпром межрегионгаз Калуга""";"ООО ""Газпром межрегионгаз Калуга""";ООО;4029019805;402901001;;;ЮЛ;248025, Россия, Калужская обл., г. Калуга, ул. Зерновая,  дом № 40;Да;Нет;;;;;;;
"Калужский филиал ПАО ""Ростелеком""";"Калужский филиал ПАО ""Ростелеком""";ПАО;7707049388;402743001;;;ЮЛ;141400,Московская область,г.Химки,ул.Пролетарская,дом 23;Да;Нет;;;;;;;
"ФГУП ""Охрана"" МВД России";"ФГУП ""Охрана"" МВД России";ФГУП;7719555477;312302001;;;ЮЛ;г.Москва, ул. Нижняя Красносельская,35, стр.1А;Да;Нет;;;;;;;
"ЗАО ""Чеховский завод ""Машиностроитель""";"Закрытое акционерное общество ""Чеховский завод ""Машиностроитель""";ЗАО;5048015188;504801001;;;ЮЛ;142300, Московская область, г. Чехов, ул.Чехова, дом 20Б;Да;Нет;;;;;;;
"АО ""Газпром газораспределение Смоленск""";"АО ""Газпром газораспределение Смоленск""";АО;6731011930;673250001;;;ЮЛ;214019, г.Смоленск, Трамвайный проезд, 10;Да;Нет;;;;;;;
"ЗАО ""ЧЭАЗ""";"ЗАО ""ЧЭАЗ""";ЗАО;2128000600;213050001;;;ЮЛ;428000, г.Чебоксары, пр. И.Яковлева, 5;Да;Нет;;;;;;;
"УФПС Тульской области - филиал ФГУП ""Почта России""";"УФПС Тульской области - филиал ФГУП ""Почта России"" ";ФГУП;7724261610;710702001;;;ЮЛ;131000, г. Москав, Варшавское шоссе, д.37;Да;Нет;;;;;;;
"АНО ""ИТЦ""";АНО Инженерно-технический центр;АНО;3123088025;312301001;;;ЮЛ;308001, г.Белгород, ул. Октябрьская, 58;Да;Нет;;;;;;;
"ГАУ Редакция областной газеты  ""Рязанские ведомости""";"ГАУ Редакция областной газеты  ""Рязанские ведомости""";;6230027495;623001001;;;ЮЛ;390023 г.Рязань, ул.Горького, 14;Да;Нет;;;;;;;
"МУП  ""Эколозащита""";"МУП ""Эколозащита""";МУП;6228032064;623401001;;;ЮЛ;390035 г.Рязань ул.Полетаева,29а;Да;Нет;;;;;;;
"ООО ""Техноресурс""";"ООО ""Техноресурс""";ООО;6230035552;623001001;;;ЮЛ;391000, г.Рязань, Южный промузел, п.Никуличи, д.10, стр.1;Да;Нет;;;;;;;
ЦРПУ, ООО;ЦРПУ, ООО;ООО;3665072360;366501001;;;ЮЛ;394038, г.Воронеж, ул. Пешестрелецкая, 74;Да;Нет;;;;;;;
"МУП ""Рай ДЭЗ ЖКХ Левобережного района""";"МУП ""Рай ДЭЗ ЖКХ Левобережного района""";МУП;3663038942;366301001;;;ЮЛ;394033 г. Воронеж, Ленинский проспект, 93;Да;Нет;;;;;;;
"ООО ""Энергопромэксперт""";"ООО ""Энергопромэксперт""";ООО;6730057995;673201001;;;ЮЛ;214030, г.Смоленск, ул.Н.Неман, д.6а, 35;Да;Нет;;;;;;;
"ООО ""Формматериалы""";"ООО ""Формматериалы""";ООО;3650002018;366201001;;;ЮЛ;394088 г. Воронеж, ул. Антонова-Овсеенко, 1А;Да;Нет;;;;;;;
"ООО ""АгрегатИнформ""";"ООО ""АгрегатИнформ""";ООО;7734229492;773401001;;;ЮЛ;г.Москва, ул.Д.Бедного 20-4-12;Да;Нет;;;;;;;
"Филиал ООО ""Ротекс"" г.Смоленск";"ООО ""Ротекс"" ";ООО;2464044636;246401001;;;ЮЛ;"660010, г.Красноярск, пр. имени Газеты ""Красноярский рабочий"",д.156-б";Да;Нет;;;;;;;
"ОАО ""Аромасинтез""";"ОАО ""Аромасинтез""";ООО;4028000022;402801001;;;ЮЛ;248010, Россия, Калужская обл., г. Калуга, ул. Комсомольская Роща,  дом № 39;Да;Нет;;;;;;;
"ООО ""КПО КВОиТ""";"ООО ""КПО КВОиТ""";ООО;6315533420;631801001;;;ЮЛ;443022 г. Самара, проезд, Мальцева, 1;Да;Нет;;;;;;;
"ОАО ""Теплоизолит""";"ОАО ""Теплоизолит""";ООО;5042010320;504201001;;;ЮЛ;141370 Московская обл.ю,Сергиево-Посадский р-н г.Хотьково,ул.Загорская.д.1;Да;Нет;;;;;;;
"ФГБУ ""ЦЛАТИ по ЦФО""";"Федеральное государственное бюджетное учреждение ""Центр лабораторного анализа и технических измерений по Центральному федеральному округу""";;5042060410;463243001;;;ЮЛ;305000, г.Курск, ул.Ленина, д.55А;Да;Нет;;;;;;;
"ЗАО ""ТЖБИ-4""";"ЗАО ""ТЖБИ-4""";ЗАО;6903008805;366332001;;;ЮЛ;"170017 г.Тверь Промзона ""Лазурная""";Да;Нет;;;;;;;
"Белгородский филиал ПАО ""Ростелеком""";"Белгородский филиал ПАО ""Ростелеком""";ПАО;7707049388;312343001;;;ЮЛ;г. Белгород, пр-кт Б.Хмельницкого, д.81;Да;Нет;;;;;;;
"Управление по орловской Области филиала ФГУП  ""РЧЦ ЦФО"" в Центральном федеральном округе";"Управление по орловской Области филиала ФГУП  ""РЧЦ ЦФО"" в Центральном федеральном округе";ФГУП;7707291942;575345001;;;ЮЛ;г. Москва, ул. Достоевского, д. 1/21;Да;Нет;;;;;;;
"ООО ""Банковский Производственный Центр""";"ООО ""Банковский Производственный Центр""";ООО;7702170535;770201001;;;ЮЛ;129010 г.Москва пр-т Мира д. 16 стр 2;Да;Нет;;;;;;;
"ООО ""Калужский областной водоканал""";"ООО ""Калужский областной водоканал""";ООО;4027068980;402701001;;;ЮЛ;248020, г.Калуга, ул.Салтыкова-Щедрина, д.80;Да;Нет;;;;;;;
"ОАО ""Газпром газораспределение Калуга""";"ОАО ""Газпром газораспределение Калуга""";ООО;4000000015;402701001;;;ЮЛ;248021, г.Калуга, ул.Инженерная, д.10;Да;Нет;;;;;;;
Центр гигиены и эпидемиологии в Рязанской области , ФБУЗ;Центр гигиены и эпидемиологии в Рязанской области , ФБУЗ;;6234013366;623401001;;;ЮЛ;390046 г.Рязань, ул.Свободы,89;Да;Нет;;;;;;;
"ООО ""Константа-2""";Константа-2, ООО;ООО;3444037833;344401001;;;ЮЛ;400131, г.Волгоград, ул.Советская, 8-85;Да;Нет;;;;;;;
"ООО ""ЭКОЭНЕРГО""";"ООО ""Экоэнерго""";ООО;6164014050;616701001;;;ЮЛ;"3444030, г.Ростов-на-Дону, пер.Александровский спуск, 2""А""";Да;Нет;;;;;;;
"ООО ""ПРЕСТИЖ-ИНТЕРНЕТ""";"ООО ""ПРЕСТИЖ-ИНТЕРНЕТ""";ООО;7714757367;623443001;;;ЮЛ;127083 г.Москва,ул.Мишина,д.56,стр.2;Да;Нет;;;;;;;
"МП ""Спецавтобаза по уборке города""";Спецавтобаза по уборке города, МП;;6227001360;622901001;;;ЮЛ;390023 г.Рязань, пр.Яблочкова,9;Да;Нет;;;;;;;
"ЗАО ""Энерголизинг""";"ЗАО ""Энерголизинг""";ЗАО;3123065966;312350001;;;ЮЛ;г.Белгород Народный бульвар,34;Да;Нет;;;;;;;
"ЗАО ""БИЗНЕС АЛЬЯНС""";"ЗАО ""БИЗНЕС АЛЬЯНС""";ЗАО;7708582197;770801001;;;ЮЛ;г.Москва Большой Саввинский пер., д 10А;Да;Нет;;;;;;;
"ООО ""Алмаз""";"ООО ""Алмаз""";ООО;6829043416;682901001;;;ЮЛ;392030, Тамбовская обл, Тамбов г, Моршанское ш, дом № 40;Да;Нет;;;;;;;
"ООО ""Малая химическая компания""";"ООО ""Малая химическая компания""";ООО;7710703561;771001001;;;ЮЛ;125047, Москва, Фадеева, дом № 9;Да;Нет;;;;;;;
"ООО ""РК ""РосАква""";"ООО ""РК ""РосАква""";ООО;7801483810;780101001;;;ЮЛ;199048, Санкт-Петербург, 16-я линия В.О., дом № 67, корпус А, кв.12Н;Да;Нет;;;;;;;
"ООО ""ИР-Лизинг""";"ООО ""ИР-Лизинг""";ООО;7709225416;770901001;;;ЮЛ;109147 г.Москва ул.Марксистская д,34 корп 8;Да;Нет;;;;;;;
"ООО ""ЛэндГринЭко""";"ООО ""ЛэндГринЭко""";ООО;4807011142;480701001;;;ЮЛ;399742, Елецкий район, д. Пажень, дом № 13;Да;Нет;;;;;;;
